,dv,heat,year,region,country,rain,region_id
421,14.59,0.0,2009,8,PER,-0.3982188,PER_8
422,10.29,0.0,2009,9,PER,-0.4318576,PER_9
423,8.04,0.0,2009,10,PER,-0.07963422,PER_10
424,11.02,0.0,2009,11,PER,-0.2904485,PER_11
425,14.05,0.0,2009,12,PER,-0.2999927,PER_12
426,4.27,0.0,2009,13,PER,0.5809008,PER_13
427,8.84,0.0,2009,14,PER,0.7663967,PER_14
428,8.29,0.0,2009,15,PER,-0.3667614,PER_15
429,13.14,0.0,2009,16,PER,0.06085969,PER_16
430,16.54,0.0,2009,17,PER,0.2304657,PER_17
431,14.93,0.0,2009,18,PER,-0.4178939,PER_18
432,11.17,0.0,2009,19,PER,-0.2568827,PER_19
433,7.1,0.0,2009,20,PER,0.613846,PER_20
434,11.65,0.0,2009,21,PER,-0.3736725,PER_21
435,14.35,0.0,2009,22,PER,0.1626733,PER_22
436,13.42,0.0,2009,23,PER,-0.4944853,PER_23
437,10.31,0.0,2009,24,PER,0.3704873,PER_24
438,12.2,0.0,2009,25,PER,-0.04745139,PER_25
439,10.21,0.0,2010,1,PER,0.2501121,PER_1
440,9.38,0.0,2010,2,PER,-0.4950183,PER_2
441,14.37,0.0,2010,3,PER,-0.5407308,PER_3
442,8.83,0.0,2010,4,PER,-0.6313385,PER_4
443,9.05,0.0,2010,5,PER,-0.2593453,PER_5
444,7.29,0.0,2010,6,PER,0.1071076,PER_6
445,17.38,0.0,2010,8,PER,-0.3668968,PER_8
446,8.85,0.0,2010,9,PER,0.03347689,PER_9
447,6.42,0.0,2010,10,PER,-0.5082553,PER_10
448,12.47,0.0,2010,11,PER,0.3216139,PER_11
449,11.58,0.0,2010,12,PER,0.03215287,PER_12
450,4.21,0.0,2010,13,PER,-0.3550552,PER_13
451,7.82,0.0,2010,14,PER,0.1527394,PER_14
452,8.3,0.0,2010,15,PER,-0.07560865,PER_15
453,13.04,0.1666667,2010,16,PER,-0.561678,PER_16
454,14.16,0.0,2010,17,PER,0.4508265,PER_17
455,11.34,0.0,2010,18,PER,-0.6902122,PER_18
456,12.98,0.0,2010,19,PER,-0.3185401,PER_19
