dv,heat,year,region,country,rain,region_id
17.95,0.25,2010,1,MWI,0.1054756,MWI_1
12.98,0.25,2010,2,MWI,0.1120328,MWI_2
14.45,0.1666667,2010,3,MWI,-0.2223606,MWI_3
19.66,0.08333333,2015,1,MWI,-0.726257,MWI_1
14.59,0.1666667,2015,2,MWI,-0.4086435,MWI_2
16.71,0.1666667,2015,3,MWI,-0.4687817,MWI_3
13.62,0.0,2013,1,NAM,0.08696213,NAM_1
13.31,0.3333333,2013,2,NAM,-0.4563577,NAM_2
14.51,0.0,2013,3,NAM,-0.4945652,NAM_3
17.83,0.08333333,2013,4,NAM,-0.218987,NAM_4
34.75,0.0,2013,5,NAM,0.008271633,NAM_5
13.38,0.1666667,2013,6,NAM,-0.6237583,NAM_6
12.35,0.5,2013,7,NAM,0.0253759,NAM_7
6.94,0.0,2013,8,NAM,-0.0008295185,NAM_8
22.85,0.1666667,2013,9,NAM,-0.3247688,NAM_9
5.38,0.0,2013,10,NAM,0.149837,NAM_10
10.85,0.08333333,2013,11,NAM,0.0008440897,NAM_11
11.48,0.0,2013,12,NAM,-0.09807674,NAM_12
15.72,0.1666667,2013,13,NAM,-0.2432153,NAM_13
19.99,0.0,2008,1,NGA,-0.2609603,NGA_1
14.6,0.0,2008,2,NGA,-0.1665594,NGA_2
6.42,0.0,2008,3,NGA,-0.2696624,NGA_3
15.63,0.0,2008,4,NGA,-0.1803446,NGA_4
23.85,0.0,2008,5,NGA,-0.06840548,NGA_5
15.13,0.0,2008,6,NGA,0.1471591,NGA_6
14.03,0.08333333,2013,1,NGA,-0.1005866,NGA_1
13.0,0.08333333,2013,2,NGA,0.6207292,NGA_2
3.31,0.08333333,2013,3,NGA,0.7566798,NGA_3
14.15,0.0,2013,4,NGA,-0.1576906,NGA_4
18.84,0.0,2013,5,NGA,-0.1455822,NGA_5
13.93,0.0,2013,6,NGA,0.007070772,NGA_6
19.92,0.08333333,2018,1,NGA,-0.05490964,NGA_1
19.39,0.0,2018,2,NGA,0.4296704,NGA_2
6.57,0.0,2018,3,NGA,0.2359598,NGA_3
16.67,0.08333333,2018,4,NGA,-0.256047,NGA_4
17.52,0.08333333,2018,5,NGA,-0.2399223,NGA_5
10.44,0.0,2018,6,NGA,0.05140388,NGA_6
12.4,0.0,2012,1,PAK,-0.139234,PAK_1
11.11,0.0,2012,2,PAK,-0.4017563,PAK_2
21.51,0.0,2012,3,PAK,0.07991684,PAK_3
5.93,0.0,2012,5,PAK,-0.08086924,PAK_5
8.07,0.08333333,2017,2,PAK,-0.1513047,PAK_2
20.62,0.3333333,2017,4,PAK,-0.4638747,PAK_4
31.08,0.0,2000,1,PER,0.490644,PER_1
25.8,0.0,2000,2,PER,-0.1433607,PER_2
38.78,0.0,2000,3,PER,-0.1251013,PER_3
30.16,0.0,2000,4,PER,0.1378349,PER_4
28.61,0.0,2000,5,PER,-0.2783499,PER_5
22.94,0.0,2000,6,PER,0.3203938,PER_6
40.86,0.0,2000,8,PER,-0.1401352,PER_8
21.67,0.0,2000,9,PER,-0.04232532,PER_9
28.0,0.0,2000,10,PER,0.005805764,PER_10
26.55,0.0,2000,11,PER,-0.004636306,PER_11
29.7,0.0,2000,12,PER,0.0256132,PER_12
19.26,0.0,2000,13,PER,-0.1415778,PER_13
22.42,0.0,2000,14,PER,0.7374808,PER_14
23.17,0.0,2000,15,PER,0.1516616,PER_15
38.72,0.0,2000,16,PER,0.2575689,PER_16
31.11,0.0,2000,17,PER,0.01378813,PER_17
26.41,0.0,2000,18,PER,-0.1384499,PER_18
