dv,heat,year,region,country,rain,DM_urban_p,ED_educ_years_mean,ED_litt_p,EI_internet_week_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,DP_decide_money_p,DP_earn_more_equal_p,WK_working_paid_p,DP_owns_house_p,DP_owns_land_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_visits_p,DP_decide_contraception_p,DP_decide_no_contraception_p,DV_phys_partner_12m_p,DV_phys_12m_p,WL_wealth_median,DM_age_diff_mean,DM_age_diff_10plus_p,EI_women_elec_p,region_id
16.15,0.0,2018,5,CMR,-0.385077259191439,42.81,8.18,74.74,20.46,7.51,26.34,35.74,39.42,19.54,42.4,29.49,24.51,11.84,15.91,,6.54,24.68,15.62,16.15,32.67,7.94,34.87,59.48,CMR_5
19.52,0.0833333333333333,2018,6,CMR,-0.0250761699574194,48.68,6.49,64.71,15.9,10.48,20.47,34.22,47.31,29.22,37.16,16.51,12.54,14.97,10.24,,43.52,46.81,22.47,19.52,23.24,7.49,26.51,46.7,CMR_6
15.96,0.25,2018,7,CMR,-0.61866927738766,100.0,10.61,94.73,46.36,18.24,39.93,75.31,43.62,21.12,77.57,8.29,6.26,17.85,18.81,,13.06,24.83,10.55,15.96,59.41,7.36,15.25,99.02,CMR_7
33.11,0.0833333333333333,2007,1,COD,0.24429163782515,100.0,9.32,91.5,,11.93,52.17,74.88,60.89,,68.61,,,30.21,17.07,66.03,,,40.77,33.11,52.43,7.75,31.69,85.87,COD_1
55.78,0.0,2007,2,COD,0.48386771398708,20.1,5.0,51.37,,6.96,27.92,2.63,11.88,,12.05,,,14.91,9.34,56.0,,,58.22,55.78,16.62,7.53,29.83,0.15,COD_2
37.98,0.0833333333333333,2007,3,COD,0.617785611261444,36.03,5.45,61.54,,5.8,54.02,21.09,28.49,,21.22,,,15.77,10.11,62.55,,,44.33,37.98,16.62,6.68,21.9,19.69,COD_3
66.91,0.0,2007,4,COD,-0.439564298073345,28.77,3.81,49.44,,2.8,8.22,1.58,11.84,,18.49,,,27.91,10.44,58.95,,,70.28,66.91,16.62,6.26,22.19,0.23,COD_4
59.98,0.0,2007,5,COD,0.0256300360664141,36.36,4.63,50.05,,10.42,19.02,5.05,23.43,,24.1,,,15.11,14.61,46.35,,,60.99,59.98,13.13,8.01,25.25,1.02,COD_5
49.19,0.0,2007,6,COD,0.0914782844869061,51.44,5.49,58.16,,14.37,32.63,10.26,27.8,,33.18,,,18.14,16.88,42.59,,,52.43,49.19,18.95,8.61,35.6,2.46,COD_6
48.54,0.0,2007,7,COD,0.298132280715524,60.76,5.5,59.62,,5.31,29.27,25.86,25.96,,29.97,,,24.17,10.57,63.5,,,53.1,48.54,18.95,7.01,22.76,28.36,COD_7
